goed,jaar,Aandeel in invoer,Aandeel in uitvoer
Chemische producten,1920,0.0474308300395257,0.057618437900128
Fabricaten,1920,0.346508563899868,0.284250960307298
"Grondstoffen, oliën en vetten",1920,0.227931488801054,0.183098591549296
Machines,1920,0.0849802371541502,0.0486555697823304
Minerale brandstoffen,1920,0.100131752305665,0.0128040973111396
"Voeding, dranken en tabak",1920,0.19235836627141,0.412291933418694
Chemische producten,1925,0.0475763016157989,0.0560292326431182
Fabricaten,1925,0.280071813285458,0.214372716199756
"Grondstoffen, oliën en vetten",1925,0.251346499102334,0.149817295980512
Machines,1925,0.059245960502693,0.0475030450669915
Minerale brandstoffen,1925,0.0700179533213645,0.0389768574908648
"Voeding, dranken en tabak",1925,0.291741472172352,0.493300852618758
Chemische producten,1930,0.0490463215258856,0.0522959183673469
Fabricaten,1930,0.327883742052679,0.229591836734694
"Grondstoffen, oliën en vetten",1930,0.227066303360581,0.149234693877551
Machines,1930,0.10172570390554,0.104591836734694
Minerale brandstoffen,1930,0.0808356039963669,0.0637755102040816
"Voeding, dranken en tabak",1930,0.214350590372389,0.401785714285714
Chemische producten,1935,0.0608108108108108,0.0743034055727554
Fabricaten,1935,0.364864864864865,0.26625386996904
"Grondstoffen, oliën en vetten",1935,0.227477477477478,0.170278637770898
Machines,1935,0.0990990990990991,0.105263157894737
Minerale brandstoffen,1935,0.0675675675675676,0.0588235294117647
"Voeding, dranken en tabak",1935,0.18018018018018,0.325077399380805
Chemische producten,1936,0.0596707818930041,0.0692520775623269
Fabricaten,1936,0.3559670781893,0.277008310249308
"Grondstoffen, oliën en vetten",1936,0.248971193415638,0.163434903047091
Machines,1936,0.0905349794238683,0.0914127423822715
Minerale brandstoffen,1936,0.0679012345679012,0.0581717451523546
"Voeding, dranken en tabak",1936,0.176954732510288,0.340720221606648
Chemische producten,1937,0.0508241758241758,0.0659340659340659
Fabricaten,1937,0.339285714285714,0.293040293040293
"Grondstoffen, oliën en vetten",1937,0.267857142857143,0.161172161172161
Machines,1937,0.0934065934065934,0.0989010989010989
Minerale brandstoffen,1937,0.0659340659340659,0.0604395604395604
"Voeding, dranken en tabak",1937,0.184065934065934,0.322344322344322
Chemische producten,1938,0.0558069381598793,0.0653061224489796
Fabricaten,1938,0.32579185520362,0.271428571428571
"Grondstoffen, oliën en vetten",1938,0.24132730015083,0.142857142857143
Machines,1938,0.119155354449472,0.126530612244898
Minerale brandstoffen,1938,0.0678733031674208,0.0653061224489796
"Voeding, dranken en tabak",1938,0.190045248868778,0.328571428571429
Chemische producten,1939,0.0621468926553672,0.0700218818380744
Fabricaten,1939,0.355932203389831,0.266958424507659
"Grondstoffen, oliën en vetten",1939,0.22316384180791,0.140043763676149
Machines,1939,0.122881355932203,0.12910284463895
Minerale brandstoffen,1939,0.076271186440678,0.0634573304157549
"Voeding, dranken en tabak",1939,0.159604519774011,0.330415754923414
Chemische producten,1940,0.0625,0.0576271186440678
Fabricaten,1940,0.40301724137931,0.193220338983051
"Grondstoffen, oliën en vetten",1940,0.176724137931034,0.16271186440678
Machines,1940,0.118534482758621,0.0949152542372881
Minerale brandstoffen,1940,0.0689655172413793,0.0542372881355932
"Voeding, dranken en tabak",1940,0.170258620689655,0.43728813559322
Chemische producten,1941,0.100591715976331,0.0277777777777778
Fabricaten,1941,0.485207100591716,0.288194444444444
"Grondstoffen, oliën en vetten",1941,0.13905325443787,0.111111111111111
Machines,1941,0.159763313609467,0.114583333333333
Minerale brandstoffen,1941,0.0532544378698225,0.0555555555555556
"Voeding, dranken en tabak",1941,0.0591715976331361,0.402777777777778
Chemische producten,1942,0.132420091324201,0.05
Fabricaten,1942,0.420091324200913,0.364285714285714
