Land,Jaar,Aandeel in invoer,Aandeel in uitvoer
Verenigde Staten,1917,0.204545454545455,0.0455764075067024
Australië en Oceanië,1917,,
China,1917,0.00227272727272727,
Indonesië,1917,0.104545454545455,0.00804289544235925
Japan,1917,,
Saoedi Arabië,1917,,
België,1917,0.0227272727272727,0.0777479892761394
Duitsland,1917,0.254545454545455,0.386058981233244
Frankrijk,1917,0.00227272727272727,0.0268096514745308
Italië,1917,0.00227272727272727,
Russische Federatie,1917,,
Verenigd Koninkrijk,1917,0.197727272727273,0.249329758713137
Verenigde Staten,1918,0.0392857142857143,0.0342857142857143
Australië en Oceanië,1918,,
China,1918,,
Indonesië,1918,0.00714285714285714,0.0171428571428571
Japan,1918,,
Saoedi Arabië,1918,,
België,1918,0.0214285714285714,0.0514285714285714
Duitsland,1918,0.521428571428571,0.4
Frankrijk,1918,0.00357142857142857,0.0285714285714286
Italië,1918,,0.00571428571428571
Russische Federatie,1918,0.00714285714285714,0.0114285714285714
Verenigd Koninkrijk,1918,0.0857142857142857,0.194285714285714
Verenigde Staten,1919,0.193623639191291,0.0401854714064915
Australië en Oceanië,1919,,
China,1919,0.00855365474339036,0.00154559505409583
Indonesië,1919,0.115863141524106,0.0324574961360124
Japan,1919,0.00622083981337481,
Saoedi Arabië,1919,,
België,1919,0.0777604976671851,0.129829984544049
Duitsland,1919,0.315707620528771,0.404945904173107
Frankrijk,1919,0.0147744945567652,0.0340030911901082
Italië,1919,0.00233281493001555,0.00772797527047914
Russische Federatie,1919,0.00777604976671851,0.0200927357032458
Verenigd Koninkrijk,1919,0.209175738724728,0.340030911901082
Verenigde Staten,1920,0.157444005270092,0.0448143405889885
Australië en Oceanië,1920,0.00131752305665349,0.00384122919334187
China,1920,0.00527009222661397,0.00384122919334187
Indonesië,1920,0.0718050065876153,0.0268886043533931
Japan,1920,0.00856389986824769,0.00128040973111396
Saoedi Arabië,1920,,
België,1920,0.0961791831357049,0.104993597951344
Duitsland,1920,0.270092226613966,0.244558258642766
Frankrijk,1920,0.0237154150197628,0.0358514724711908
Italië,1920,0.00263504611330698,0.00640204865556978
Russische Federatie,1920,0.00131752305665349,0.00128040973111396
Verenigd Koninkrijk,1920,0.16600790513834,0.19078104993598
Verenigde Staten,1921,0.172983479105928,0.0334394904458599
Australië en Oceanië,1921,0.000971817298347911,0.00318471337579618
China,1921,0.00485908649173955,0.00159235668789809
Indonesië,1921,0.0573372206025267,0.143312101910828
Japan,1921,0.0087463556851312,0.00477707006369427
Saoedi Arabië,1921,,
België,1921,0.101068999028183,0.124203821656051
Duitsland,1921,0.276967930029155,0.18312101910828
Frankrijk,1921,0.0281827016520894,0.0621019108280255
Italië,1921,0.00388726919339164,0.00796178343949045
Russische Federatie,1921,0.000971817298347911,0.00318471337579618
Verenigd Koninkrijk,1921,0.137998056365403,0.254777070063694
Verenigde Staten,1922,0.133405639913232,0.0501792114695341
Australië en Oceanië,1922,0.00325379609544469,0.00537634408602151
China,1922,0.00433839479392625,0.0017921146953405
Indonesië,1922,0.0509761388286334,0.10752688172043
Japan,1922,0.00759219088937093,0.0017921146953405
Saoedi Arabië,1922,,
België,1922,0.0943600867678959,0.14336917562724
Duitsland,1922,0.299349240780911,0.136200716845878
Frankrijk,1922,0.0281995661605206,0.0931899641577061
Italië,1922,0.00542299349240781,0.0125448028673835
Russische Federatie,1922,0.00325379609544469,0.003584229390681
Verenigd Koninkrijk,1922,0.15943600867679,0.245519713261649
Verenigde Staten,1923,0.126775956284153,0.0521008403361345
Australië en Oceanië,1923,0.00327868852459016,0.00504201680672269
China,1923,0.00655737704918033,0.00336134453781513
Indonesië,1923,0.0568306010928962,0.0840336134453782
Japan,1923,0.00765027322404372,0.00336134453781513
Saoedi Arabië,1923,,
België,1923,0.109289617486339,0.107563025210084
Duitsland,1923,0.245901639344262,0.142857142857143
Frankrijk,1923,0.033879781420765,0.0957983193277311
Italië,1923,0.00437158469945355,0.0100840336134454
Russische Federatie,1923,0.0109289617486339,0.00168067226890756
Verenigd Koninkrijk,1923,0.153005464480874,0.273949579831933
Verenigde Staten,1924,0.114525139664804,0.0339425587467363
Australië en Oceanië,1924,0.00465549348230913,0.00391644908616188
China,1924,0.00558659217877095,0.00261096605744125
Indonesië,1924,0.0567970204841713,0.0639686684073107
Japan,1924,0.00651769087523278,0.00391644908616188
Saoedi Arabië,1924,,
België,1924,0.108007448789572,0.0900783289817232
Duitsland,1924,0.243947858472998,0.278067885117494
Frankrijk,1924,0.0418994413407821,0.066579634464752
Italië,1924,0.00558659217877095,0.010443864229765
Russische Federatie,1924,0.0195530726256983,0.00652741514360313
Verenigd Koninkrijk,1924,0.129422718808194,0.245430809399478
Verenigde Staten,1925,0.112208258527828,0.0389768574908648
Australië en Oceanië,1925,0.00359066427289048,0.0048721071863581
China,1925,0.00448833034111311,0.00365408038976857
Indonesië,1925,0.0556552962298025,0.074299634591961
Japan,1925,0.00807899461400359,0.00243605359317905
Saoedi Arabië,1925,,
België,1925,0.112208258527828,0.0913520097442144
Duitsland,1925,0.242369838420108,0.259439707673569
Frankrijk,1925,0.0439856373429084,0.0475030450669915
Italië,1925,0.00718132854578097,0.0121802679658952
Russische Federatie,1925,0.0143626570915619,0.0097442143727162
Verenigd Koninkrijk,1925,0.160682226211849,0.258221680876979
Verenigde Staten,1926,0.105500450856628,0.0453400503778338
Australië en Oceanië,1926,0.0036068530207394,0.00629722921914358
China,1926,0.00541027953110911,0.00377833753148615
Indonesië,1926,0.0595130748422002,0.0730478589420655
Japan,1926,0.00991884580703336,0.00377833753148615
Saoedi Arabië,1926,,
België,1926,0.111812443642922,0.0831234256926952
Duitsland,1926,0.27321911632101,0.217884130982368
Frankrijk,1926,0.0459873760144274,0.0478589420654912
Italië,1926,0.00721370604147881,0.0125944584382872
Russische Federatie,1926,0.0162308385933273,0.00125944584382872
Verenigd Koninkrijk,1926,0.0946798917944094,0.275818639798489
Verenigde Staten,1927,0.105445116681072,0.0336426914153132
Australië en Oceanië,1927,0.00518582541054451,0.00580046403712297
China,1927,0.00518582541054451,0.00348027842227378
Indonesië,1927,0.0458081244598099,0.0719257540603248
Japan,1927,0.0129645635263613,0.00232018561484919
Saoedi Arabië,1927,,
België,1927,0.106309420916162,0.0835266821345708
Duitsland,1927,0.256698357821953,0.244779582366589
Frankrijk,1927,0.0484010371650821,0.0684454756380511
Italië,1927,0.00777873811581677,0.0139211136890951
Russische Federatie,1927,0.0121002592912705,0.00232018561484919
Verenigd Koninkrijk,1927,0.0968020743301642,0.238979118329466
Verenigde Staten,1928,0.0991803278688525,0.0343300110741971
Australië en Oceanië,1928,0.00409836065573771,0.00553709856035438
China,1928,0.00491803278688525,0.00332225913621262
Indonesië,1928,0.0524590163934426,0.0874861572535991
Japan,1928,0.00737704918032787,0.00221483942414175
Saoedi Arabië,1928,,
België,1928,0.112295081967213,0.0874861572535991
Duitsland,1928,0.271311475409836,0.234772978959025
Frankrijk,1928,0.0450819672131148,0.062015503875969
Italië,1928,0.00655737704918033,0.0188261351052049
Russische Federatie,1928,0.00819672131147541,0.00221483942414175
Verenigd Koninkrijk,1928,0.0934426229508197,0.217054263565891
Verenigde Staten,1929,0.09800796812749,0.0351648351648352
Australië en Oceanië,1929,0.00239043824701195,0.00659340659340659
China,1929,0.0047808764940239,0.0043956043956044
Indonesië,1929,0.052589641434263,0.0934065934065934
Japan,1929,0.00717131474103586,0.0032967032967033
Saoedi Arabië,1929,,
België,1929,0.102788844621514,0.103296703296703
Duitsland,1929,0.304382470119522,0.227472527472527
Frankrijk,1929,0.0406374501992032,0.0582417582417582
Italië,1929,0.00796812749003984,0.0153846153846154
Russische Federatie,1929,0.0151394422310757,0.0010989010989011
Verenigd Koninkrijk,1929,0.0932270916334661,0.203296703296703
Verenigde Staten,1930,0.0871934604904632,0.0280612244897959
Australië en Oceanië,1930,0.0036330608537693,0.00637755102040816
China,1930,0.0036330608537693,0.0038265306122449
Indonesië,1930,0.0399636693914623,0.0829081632653061
Japan,1930,0.00999091734786558,0.00255102040816327
Saoedi Arabië,1930,,
België,1930,0.107175295186194,0.112244897959184
Duitsland,1930,0.316984559491372,0.207908163265306
Frankrijk,1930,0.0445049954586739,0.0790816326530612
Italië,1930,0.00908265213442325,0.0114795918367347
Russische Federatie,1930,0.0254314259763851,0.00255102040816327
Verenigd Koninkrijk,1930,0.0944595821980018,0.219387755102041
Verenigde Staten,1931,0.0779069767441861,0.0251256281407035
Australië en Oceanië,1931,0.00348837209302326,0.0033500837520938
China,1931,0.00465116279069768,0.0050251256281407
Indonesië,1931,0.0395348837209302,0.0703517587939699
Japan,1931,0.0104651162790698,0.0033500837520938
Saoedi Arabië,1931,,
België,1931,0.104651162790698,0.132328308207705
Duitsland,1931,0.326744186046512,0.190954773869347
Frankrijk,1931,0.0395348837209302,0.0887772194304858
Italië,1931,0.0104651162790698,0.0100502512562814
Russische Federatie,1931,0.0383720930232558,0.0033500837520938
Verenigd Koninkrijk,1931,0.0848837209302326,0.241206030150754
Verenigde Staten,1932,0.0657672849915683,0.0336787564766839
Australië en Oceanië,1932,0.00337268128161889,0.00518134715025907
China,1932,0.00843170320404722,0.00518134715025907
Indonesië,1932,0.0505902192242833,0.0595854922279793
Japan,1932,0.00674536256323777,0.00259067357512953
Saoedi Arabië,1932,,
België,1932,0.102866779089376,0.139896373056995
Duitsland,1932,0.306913996627319,0.209844559585492
Frankrijk,1932,0.0421585160202361,0.101036269430052
Italië,1932,0.0118043844856661,0.0155440414507772
Russische Federatie,1932,0.0269814502529511,0.00518134715025907
Verenigd Koninkrijk,1932,0.09106239460371,0.189119170984456
Verenigde Staten,1933,0.0615114235500879,0.043859649122807
Australië en Oceanië,1933,0.00175746924428823,0.00292397660818713
China,1933,0.00878734622144113,0.00292397660818713
Indonesië,1933,0.0439367311072056,0.043859649122807
Japan,1933,0.0070298769771529,0.00292397660818713
Saoedi Arabië,1933,,
België,1933,0.103690685413005,0.140350877192982
Duitsland,1933,0.31634446397188,0.213450292397661
Frankrijk,1933,0.0439367311072056,0.0994152046783626
Italië,1933,0.0140597539543058,0.0175438596491228
Russische Federatie,1933,0.0281195079086116,0.00584795321637427
Verenigd Koninkrijk,1933,0.0896309314586995,0.169590643274854
Verenigde Staten,1934,0.063265306122449,0.0389221556886228
Australië en Oceanië,1934,0.00204081632653061,0.0029940119760479
