provincie,jaar,TotaleBevolking,Autochtonen,WesterseAllochtonen,Marokko,VoormaligeNedAntillenEnAruba,Suriname,Turkije,OverigeNietWesterseAllochtonen,GeboorteoverschotRelatief,VerhuismobiliteitRelatief,MigratiesaldoRelatief,BevolkingsgroeiRelatief,Eenpersoonshuishoudens,HuishoudensZonderKinderen,HuishoudensMetKinderen,GemiddeldeHuishoudensgrootte,TotaalAantalBanen,TotDeAOWLeeftijd,VanafDeAOWLeeftijd
Groningen,1995,557995,,,,,,,,1.8,137.9,0.6,0.2,38,28.9,33.1,2.19,,,
Groningen,1996,558113,90.1,6.1,0.2,0.5,1,0.7,1.4,0.8,141.8,1.6,0,38.1,29.3,32.6,2.18,,,
Groningen,1997,558124,89.9,6.2,0.2,0.5,1,0.7,1.5,1.4,141.4,1.9,-0.3,38.3,29.6,32.1,2.16,,,
Groningen,1998,558017,89.7,6.2,0.2,0.6,1,0.7,1.6,1.7,143.5,4.1,3.5,38.4,29.9,31.7,2.15,,,
Groningen,1999,559988,89.3,6.3,0.2,0.6,1,0.7,1.8,1.6,139.6,3.4,4.7,39,30,31.1,2.14,,,
Groningen,2000,562646,89.1,6.4,0.2,0.7,1.1,0.7,1.9,1.9,125.5,5.1,6.8,38.8,30.4,30.8,2.13,,,
Groningen,2001,566489,88.6,6.6,0.2,0.7,1.1,0.7,2.1,1.6,120.8,6,7,38.7,30.4,30.9,2.13,,,
Groningen,2002,570480,88.1,6.7,0.2,0.8,1.1,0.7,2.4,1.7,122.1,3.8,4.4,38.7,30.3,31,2.13,,,
Groningen,2003,572997,87.8,6.7,0.2,0.8,1.1,0.7,2.7,1.5,118.9,0.2,2.4,38.9,30.2,30.9,2.13,,,
Groningen,2004,574384,87.7,6.7,0.2,0.8,1.1,0.8,2.7,1.4,114.7,-0.4,1.2,39.3,30.1,30.6,2.12,,,
Groningen,2005,575072,87.7,6.8,0.3,0.8,1.1,0.8,2.6,1.3,120.5,-1.9,-1.8,39.4,30.1,30.5,2.11,,,
Groningen,2006,574042,87.7,6.8,0.3,0.8,1.1,0.8,2.6,1,122.5,-1.7,-0.7,40.1,29.6,30.3,2.1,,,
Groningen,2007,573614,87.7,6.8,0.3,0.8,1.1,0.8,2.6,1.1,122.4,-0.9,-0.3,40.5,29.5,29.9,2.09,,55490,720
Groningen,2008,573459,87.6,6.8,0.3,0.8,1.1,0.8,2.6,1.1,122.3,1.6,1.1,40.9,29.5,29.6,2.08,249.9,54170,790
Groningen,2009,574092,87.4,7,0.3,0.8,1.1,0.8,2.7,1.2,112.8,2.6,4.5,41.2,29.5,29.3,2.06,249.2,58800,820
Groningen,2010,576668,87.1,7.1,0.3,0.8,1.1,0.8,2.8,0.7,107.6,3.4,4.1,41.6,29.4,29,2.05,249.2,59750,790
Groningen,2011,579036,86.8,7.2,0.3,0.9,1.1,0.8,2.9,1,109.8,1.7,3.2,42.3,29,28.7,2.04,249,60290,830
Groningen,2012,580875,86.5,7.4,0.3,0.9,1.1,0.8,3,0.2,110.2,1.4,1.4,43.1,28.6,28.4,2.02,240.7,63210,820
Groningen,2013,581705,86.3,7.6,0.3,0.9,1.1,0.8,3.1,-0.1,110.7,2.4,1.8,43.6,28.4,28,2.01,238.6,66430,101910
Groningen,2014,582728,86,7.7,0.3,0.9,1.1,0.8,3.3,0.2,116,5.2,2.1,43.8,28.4,27.8,2,239.3,67680,103980
Groningen,2015,583942,85.7,7.7,0.3,0.9,1.1,0.8,3.6,-0.3,126.7,,-0.4,44.6,28.1,27.4,1.98,243.5,67150,105540
Groningen,2016,583721,85.3,7.7,0.3,0.9,1.1,0.8,3.8,-0.3,130.7,,-0.2,44.8,28.1,27.1,1.98,,37940,105980
Groningen,2017,583581,85,7.9,0.3,1,1.1,0.8,4,,,,,,,,,,,
Friesland,1995,609579,,,,,,,,2.8,118.2,1.8,4,30.7,31,38.3,2.41,,,
Friesland,1996,612028,93.4,4.2,0.3,0.2,0.5,0.2,1.2,2.4,118.1,3,4.9,30,30.8,39.2,2.42,,,
Friesland,1997,615045,93.2,4.3,0.3,0.2,0.5,0.2,1.4,3,119.1,3.7,5,30.3,31.1,38.6,2.41,,,
Friesland,1998,618115,93,4.3,0.3,0.2,0.5,0.2,1.5,3.2,117.5,4.8,5,30.8,31.4,37.8,2.39,,,
Friesland,1999,621222,92.7,4.4,0.3,0.2,0.5,0.2,1.7,3.1,112.6,4.4,5.3,31,31.8,37.2,2.37,,,
Friesland,2000,624500,92.5,4.5,0.3,0.3,0.5,0.2,1.7,3.6,101.5,6.1,9.7,30.9,32.1,37,2.36,,,
Friesland,2001,630539,92.1,4.6,0.3,0.3,0.4,0.2,2,3.2,101.3,5.7,9,31.3,32,36.7,2.35,,,
Friesland,2002,636184,91.8,4.7,0.3,0.3,0.5,0.2,2.2,3.3,99.8,3.8,5.7,31.5,31.9,36.6,2.34,,,
Friesland,2003,639787,91.6,4.7,0.3,0.3,0.5,0.3,2.4,3.3,97.5,0.8,3.6,31.8,31.8,36.4,2.33,,,
Friesland,2004,642066,91.6,4.7,0.3,0.3,0.4,0.3,2.4,3,96.9,-0.4,1.4,32,31.7,36.3,2.33,,,
Friesland,2005,642977,91.6,4.7,0.3,0.3,0.4,0.3,2.3,2.8,100.7,-1.7,-1.2,32.2,31.7,36.1,2.32,,,
Friesland,2006,642230,91.8,4.7,0.3,0.3,0.4,0.2,2.1,2,102.1,-1.4,0,32.3,31.9,35.8,2.31,,,
Friesland,2007,642209,91.9,4.7,0.3,0.3,0.4,0.3,2.1,2.5,99.3,0.8,1.5,32.4,32.1,35.5,2.3,,50550,600
Friesland,2008,643189,91.8,4.7,0.3,0.3,0.5,0.3,2.1,2.3,98.8,1.7,2.5,32.6,32.2,35.2,2.29,254.6,49150,600
Friesland,2009,644811,91.7,4.8,0.3,0.3,0.5,0.3,2.2,2.3,86.6,2.4,2.3,32.9,32.2,34.8,2.28,250.6,54630,650
Friesland,2010,646305,91.5,4.8,0.3,0.3,0.5,0.3,2.2,2.2,85.5,1.9,1.5,33.3,32.1,34.6,2.27,258.2,55540,600
Friesland,2011,647282,91.4,4.9,0.3,0.3,0.5,0.3,2.2,1.6,85.1,1,-0.1,33.7,31.8,34.5,2.26,258.4,57440,640
Friesland,2012,647214,91.3,5,0.3,0.4,0.5,0.3,2.3,1,84.8,0.7,-0.5,34,31.7,34.3,2.25,253.1,61600,620
Friesland,2013,646862,91.3,5,0.3,0.4,0.5,0.3,2.3,0.5,84.2,1,-0.8,34.4,31.5,34.1,2.24,242.1,65040,121680
